"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"90","CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION","PEO Health","4.344",192,"United States","American Association for Cancer Research Inc.","1983, 1986, 1991-2020",0.02622,"Americas","Western European and Other","North America","High-income",".204",2,78,162,164,"48%","1%","48% (78)","1% (2)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","78","162","48.1%","48.1% (78)","17","30","56.7%","56.7% (17)",NA,NA,NA,NA,"1","0.6%","0.6% (1)","151","92.1%","92.1% (151)",NA,NA,NA,"7","4.3%","4.3% (7)",NA,NA,NA,NA,NA,NA,"5","3.0%","3.0% (5)","161","98.2%","98.2% (161)",NA,NA,NA,"1","0.6%","0.6% (1)",NA,NA,NA,"2","1.2%","1.2% (2)","5","3.0%","3.0% (5)","6","3.7%","3.7% (6)","1","0.6%","0.6% (1)","1","0.6%","0.6% (1)","150","91.5%","91.5% (150)",NA,NA,NA,"1","0.6%","0.6% (1)",NA,NA,NA,"1","0.6%","0.6% (1)","3","1.8%","1.8% (3)",NA,NA,NA,"1","0.6%","0.6% (1)",NA,NA,NA,"159","97.0%","97.0% (159)"
"91","Carbon Balance and Management","Environment","4.067",34,"United Kingdom","BioMed Central Ltd.","2006-2020",0.00125,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,3,30,30,"10%","0%","10% (3)","0% (0)",NA,NA,NA,NA,NA,NA,NA,NA,"3","30","10.0%","10.0% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","30.0%","30.0% (9)",NA,NA,NA,"14","46.7%","46.7% (14)","1","3.3%","3.3% (1)",NA,NA,NA,"6","20.0%","20.0% (6)","23","76.7%","76.7% (23)",NA,NA,NA,"1","3.3%","3.3% (1)",NA,NA,NA,"6","20.0%","20.0% (6)","6","20.0%","20.0% (6)","14","46.7%","46.7% (14)",NA,NA,NA,NA,NA,NA,"9","30.0%","30.0% (9)","1","3.3%","3.3% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","16.7%","16.7% (5)","3","10.0%","10.0% (3)",NA,NA,NA,NA,NA,NA,"22","73.3%","73.3% (22)"
"92","Carbon Management","Environment","1.667",34,"United Kingdom","Taylor and Francis Ltd.","2010-2020",0.00125,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",3,6,42,45,"14%","7%","14% (6)","7% (3)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)","6","42","14.3%","14.3% (6)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"17","37.8%","37.8% (17)",NA,NA,NA,"25","55.6%","55.6% (25)","3","6.7%","6.7% (3)",NA,NA,NA,NA,NA,NA,"40","88.9%","88.9% (40)",NA,NA,NA,"2","4.4%","4.4% (2)",NA,NA,NA,"3","6.7%","6.7% (3)","1","2.2%","2.2% (1)","25","55.6%","55.6% (25)","3","6.7%","6.7% (3)",NA,NA,NA,"14","31.1%","31.1% (14)","2","4.4%","4.4% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","6.7%","6.7% (3)",NA,NA,NA,"3","6.7%","6.7% (3)",NA,NA,NA,"39","86.7%","86.7% (39)"
"93","Carpathian Journal of Earth and Environmental Sciences","Environment","1.307",23,"Romania","North University of Baia Mare","2008-2020",0.00061,"Europe","Eastern European","Europe and Central Asia","Upper-middle-income",".276",12,5,37,49,"14%","24%","14% (5)","24% (12)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","5","37","13.5%","13.5% (5)","1","6","16.7%","16.7% (1)",NA,NA,NA,NA,NA,NA,NA,"1","2.0%","2.0% (1)","1","2.0%","2.0% (1)","47","95.9%","95.9% (47)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","32.7%","32.7% (16)",NA,NA,NA,"1","2.0%","2.0% (1)",NA,NA,NA,"32","65.3%","65.3% (32)",NA,NA,NA,"47","95.9%","95.9% (47)",NA,NA,NA,"1","2.0%","2.0% (1)","1","2.0%","2.0% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.0%","2.0% (1)",NA,NA,NA,"43","87.8%","87.8% (43)",NA,NA,NA,NA,NA,NA,"5","10.2%","10.2% (5)"
"94","Central European Journal of Public Health","PEO Health",".653",33,"Czech Republic","Czech National Institute of Public Health","1993-2020",0.00103,"Europe","Eastern European","Europe and Central Asia","High-income",".136",6,7,24,30,"30%","20%","30% (7)","20% (6)",NA,NA,NA,NA,"0","0","NA","NA (0)","7","24","29.2%","29.2% (7)","0","0","NA","NA (0)",NA,NA,NA,NA,NA,NA,NA,"2","6.7%","6.7% (2)",NA,NA,NA,"28","93.3%","93.3% (28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","96.7%","96.7% (29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3.3%","3.3% (1)",NA,NA,NA,"28","93.3%","93.3% (28)",NA,NA,NA,NA,NA,NA,"2","6.7%","6.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","63.3%","63.3% (19)",NA,NA,NA,NA,NA,NA,"11","36.7%","36.7% (11)"
"95","CHEMISTRY AND ECOLOGY","Environment","1.4",37,"United Kingdom","Taylor and Francis Ltd.","1982-1984, 1986-2001, 2003-2020",0.00098,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,1,18,18,"6%","0%","6% (1)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","1","18","5.6%","5.6% (1)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"1","5.6%","5.6% (1)","5","27.8%","27.8% (5)",NA,NA,NA,"9","50.0%","50.0% (9)","1","5.6%","5.6% (1)",NA,NA,NA,"2","11.1%","11.1% (2)","12","66.7%","66.7% (12)",NA,NA,NA,"1","5.6%","5.6% (1)",NA,NA,NA,"5","27.8%","27.8% (5)","2","11.1%","11.1% (2)","9","50.0%","50.0% (9)","3","16.7%","16.7% (3)",NA,NA,NA,"2","11.1%","11.1% (2)","1","5.6%","5.6% (1)","1","5.6%","5.6% (1)",NA,NA,NA,"1","5.6%","5.6% (1)","2","11.1%","11.1% (2)",NA,NA,NA,"3","16.7%","16.7% (3)",NA,NA,NA,"12","66.7%","66.7% (12)"
"96","Chemosphere","Environment","5.778",248,"United Kingdom","Elsevier Ltd.","1972-2021",0.09013,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",4,28,100,104,"28%","4%","28% (28)","4% (4)",NA,NA,NA,NA,"1","3","33.3%","33.3% (1)","28","100","28.0%","28.0% (28)","11","33","33.3%","33.3% (11)",NA,NA,NA,NA,"1","1.0%","1.0% (1)","26","25.0%","25.0% (26)","1","1.0%","1.0% (1)","34","32.7%","32.7% (34)","5","4.8%","4.8% (5)",NA,NA,NA,"37","35.6%","35.6% (37)","74","71.2%","71.2% (74)",NA,NA,NA,"2","1.9%","1.9% (2)",NA,NA,NA,"28","26.9%","26.9% (28)","42","40.4%","40.4% (42)","34","32.7%","32.7% (34)","3","2.9%","2.9% (3)",NA,NA,NA,"23","22.1%","22.1% (23)","1","1.0%","1.0% (1)","1","1.0%","1.0% (1)",NA,NA,NA,"1","1.0%","1.0% (1)","40","38.5%","38.5% (40)","4","3.8%","3.8% (4)","3","2.9%","2.9% (3)",NA,NA,NA,"56","53.8%","53.8% (56)"
"97","CHILDRENS HEALTH CARE","PEO Health",".574",38,"United States","Routledge","1980-2020",0.00044,"Americas","Western European and Other","North America","High-income",".204",0,28,62,62,"46%","0%","46% (28)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","28","62","45.2%","45.2% (28)","1","3","33.3%","33.3% (1)",NA,NA,NA,NA,NA,NA,NA,"62","100.0%","100.0% (62)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","100.0%","100.0% (62)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","100.0%","100.0% (62)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","100.0%","100.0% (62)"
"98","Chinese Geographical Science","Environment","1.854",36,"China","Science Press","1991-2020",0.00147,"Western Pacific","Asia and Pacific","East Asia and Pacific","Upper-middle-income",".168",5,2,42,47,"4%","11%","4% (2)","11% (5)","0","2","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)","2","40","5.0%","5.0% (2)","0","6","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"12","25.5%","25.5% (12)",NA,NA,NA,"6","12.8%","12.8% (6)","1","2.1%","2.1% (1)",NA,NA,NA,"28","59.6%","59.6% (28)","20","42.6%","42.6% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","57.4%","57.4% (27)","29","61.7%","61.7% (29)","6","12.8%","12.8% (6)",NA,NA,NA,NA,NA,NA,"12","25.5%","25.5% (12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","57.4%","57.4% (27)","1","2.1%","2.1% (1)",NA,NA,NA,NA,NA,NA,"19","40.4%","40.4% (19)"
"99","Ciencia & Saude Coletiva","PEO Health","1.019",46,"Brazil","Associacao Brasileira de Pos - Graduacao em Saude Coletiva","2006-2020",0.00499,"Americas","Latin America and Caribbean","Latin America and Caribbean","Upper-middle-income",".408",0,58,112,112,"52%","0%","52% (58)","0% (0)",NA,NA,NA,NA,"1","3","33.3%","33.3% (1)","58","112","51.8%","51.8% (58)","17","23","73.9%","73.9% (17)",NA,NA,NA,NA,"1","0.9%","0.9% (1)","103","92.0%","92.0% (103)",NA,NA,NA,"7","6.2%","6.2% (7)",NA,NA,NA,NA,NA,NA,"1","0.9%","0.9% (1)","20","17.9%","17.9% (20)",NA,NA,NA,NA,NA,NA,"1","0.9%","0.9% (1)","91","81.2%","81.2% (91)","1","0.9%","0.9% (1)","7","6.2%","6.2% (7)","91","81.2%","81.2% (91)",NA,NA,NA,"12","10.7%","10.7% (12)",NA,NA,NA,"1","0.9%","0.9% (1)",NA,NA,NA,"1","0.9%","0.9% (1)",NA,NA,NA,NA,NA,NA,"91","81.2%","81.2% (91)",NA,NA,NA,"20","17.9%","17.9% (20)"
"100","Clean Technologies and Environmental Policy","Environment","2.429",55,"Germany","Springer Verlag","2003-2020",0.00453,"Europe","Western European and Other","Europe and Central Asia","High-income",".084",3,14,44,47,"32%","6%","32% (14)","6% (3)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","14","44","31.8%","31.8% (14)","1","5","20.0%","20.0% (1)",NA,NA,NA,NA,"1","2.1%","2.1% (1)","25","53.2%","53.2% (25)",NA,NA,NA,"10","21.3%","21.3% (10)","2","4.3%","4.3% (2)",NA,NA,NA,"9","19.1%","19.1% (9)","39","83.0%","83.0% (39)",NA,NA,NA,"2","4.3%","4.3% (2)",NA,NA,NA,"6","12.8%","12.8% (6)","10","21.3%","21.3% (10)","9","19.1%","19.1% (9)","4","8.5%","8.5% (4)","1","2.1%","2.1% (1)","21","44.7%","44.7% (21)","1","2.1%","2.1% (1)","1","2.1%","2.1% (1)",NA,NA,NA,"1","2.1%","2.1% (1)","11","23.4%","23.4% (11)","5","10.6%","10.6% (5)","4","8.5%","8.5% (4)",NA,NA,NA,"26","55.3%","55.3% (26)"
"101","CLEAN-Soil Air Water","Environment","1.603",66,"Germany","Wiley-VCH Verlag","2007-2020",0.00298,"Europe","Western European and Other","Europe and Central Asia","High-income",".084",1,7,34,35,"20%","3%","20% (7)","3% (1)","3","22","13.6%","13.6% (3)","0","0","NA","NA (0)","4","12","33.3%","33.3% (4)","0","0","NA","NA (0)",NA,NA,NA,NA,NA,NA,NA,"7","20.0%","20.0% (7)",NA,NA,NA,"21","60.0%","60.0% (21)","3","8.6%","8.6% (3)",NA,NA,NA,"4","11.4%","11.4% (4)","28","80.0%","80.0% (28)",NA,NA,NA,"3","8.6%","8.6% (3)",NA,NA,NA,"4","11.4%","11.4% (4)","5","14.3%","14.3% (5)","21","60.0%","60.0% (21)",NA,NA,NA,NA,NA,NA,"7","20.0%","20.0% (7)","2","5.7%","5.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","20.0%","20.0% (7)","2","5.7%","5.7% (2)",NA,NA,NA,NA,NA,NA,"26","74.3%","74.3% (26)"
"102","Climate and Development","Environment","2.311",35,"United Kingdom","Taylor and Francis Ltd.","2009-2020",0.00234,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,14,35,35,"40%","0%","40% (14)","0% (0)",NA,NA,NA,NA,"1","2","50.0%","50.0% (1)","14","35","40.0%","40.0% (14)","4","11","36.4%","36.4% (4)",NA,NA,NA,NA,"4","11.4%","11.4% (4)","9","25.7%","25.7% (9)",NA,NA,NA,"16","45.7%","45.7% (16)","3","8.6%","8.6% (3)",NA,NA,NA,"3","8.6%","8.6% (3)","25","71.4%","71.4% (25)","1","2.9%","2.9% (1)","5","14.3%","14.3% (5)",NA,NA,NA,"4","11.4%","11.4% (4)","3","8.6%","8.6% (3)","16","45.7%","45.7% (16)","4","11.4%","11.4% (4)",NA,NA,NA,"5","14.3%","14.3% (5)","3","8.6%","8.6% (3)","4","11.4%","11.4% (4)",NA,NA,NA,"4","11.4%","11.4% (4)","4","11.4%","11.4% (4)",NA,NA,NA,"4","11.4%","11.4% (4)",NA,NA,NA,"23","65.7%","65.7% (23)"
"103","Climate Change Economics","Environment","1.271",26,"Singapore","World Scientific Publishing Co. Pte Ltd","2010-2020",0.00095,"South-East Asia","Asia and Pacific","East Asia and Pacific","High-income",".065",0,0,11,11,"0%","0%","0% (0)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","0","11","0.0%","0.0% (0)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,"1","9.1%","9.1% (1)","6","54.5%","54.5% (6)",NA,NA,NA,"3","27.3%","27.3% (3)",NA,NA,NA,NA,NA,NA,"1","9.1%","9.1% (1)","10","90.9%","90.9% (10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9.1%","9.1% (1)","1","9.1%","9.1% (1)","3","27.3%","27.3% (3)",NA,NA,NA,NA,NA,NA,"6","54.5%","54.5% (6)",NA,NA,NA,"1","9.1%","9.1% (1)",NA,NA,NA,"1","9.1%","9.1% (1)","1","9.1%","9.1% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","81.8%","81.8% (9)"
"104","CLIMATE POLICY","Environment","4.011",66,"United Kingdom","Taylor and Francis Ltd.","2001-2020",0.00501,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,18,53,53,"34%","0%","34% (18)","0% (0)","15","45","33.3%","33.3% (15)","0","2","0.0%","0.0% (0)","3","8","37.5%","37.5% (3)","1","3","33.3%","33.3% (1)",NA,NA,NA,NA,"4","7.5%","7.5% (4)","11","20.8%","20.8% (11)",NA,NA,NA,"19","35.8%","35.8% (19)","4","7.5%","7.5% (4)",NA,NA,NA,"15","28.3%","28.3% (15)","33","62.3%","62.3% (33)",NA,NA,NA,"7","13.2%","13.2% (7)",NA,NA,NA,"13","24.5%","24.5% (13)","15","28.3%","28.3% (15)","19","35.8%","35.8% (19)","5","9.4%","9.4% (5)",NA,NA,NA,"6","11.3%","11.3% (6)","4","7.5%","7.5% (4)","4","7.5%","7.5% (4)",NA,NA,NA,"4","7.5%","7.5% (4)","15","28.3%","28.3% (15)","4","7.5%","7.5% (4)","5","9.4%","9.4% (5)",NA,NA,NA,"25","47.2%","47.2% (25)"
"105","CLIMATE RESEARCH","Environment","2.023",106,"Germany","Inter-Research","1990-2020",0.0031,"Europe","Western European and Other","Europe and Central Asia","High-income",".084",2,3,34,36,"8%","6%","8% (3)","6% (2)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","3","34","8.8%","8.8% (3)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"11","30.6%","30.6% (11)",NA,NA,NA,"19","52.8%","52.8% (19)",NA,NA,NA,NA,NA,NA,"6","16.7%","16.7% (6)","33","91.7%","91.7% (33)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8.3%","8.3% (3)","6","16.7%","16.7% (6)","19","52.8%","52.8% (19)","1","2.8%","2.8% (1)",NA,NA,NA,"10","27.8%","27.8% (10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","11.1%","11.1% (4)","1","2.8%","2.8% (1)","1","2.8%","2.8% (1)",NA,NA,NA,"30","83.3%","83.3% (30)"
"106","Climate Risk Management","Environment","4.904",30,"Netherlands","Elsevier BV","2014-2020",0.00237,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,7,26,26,"26%","0%","26% (7)","0% (0)","6","22","27.3%","27.3% (6)","1","4","25.0%","25.0% (1)","1","4","25.0%","25.0% (1)","1","4","25.0%","25.0% (1)",NA,NA,NA,NA,"1","3.8%","3.8% (1)","9","34.6%","34.6% (9)",NA,NA,NA,"8","30.8%","30.8% (8)","3","11.5%","11.5% (3)",NA,NA,NA,"5","19.2%","19.2% (5)","20","76.9%","76.9% (20)","1","3.8%","3.8% (1)","3","11.5%","11.5% (3)",NA,NA,NA,"2","7.7%","7.7% (2)","5","19.2%","19.2% (5)","8","30.8%","30.8% (8)","1","3.8%","3.8% (1)",NA,NA,NA,"8","30.8%","30.8% (8)","3","11.5%","11.5% (3)","1","3.8%","3.8% (1)",NA,NA,NA,"1","3.8%","3.8% (1)","4","15.4%","15.4% (4)",NA,NA,NA,"1","3.8%","3.8% (1)",NA,NA,NA,"20","76.9%","76.9% (20)"
"107","Climatic Change","Environment","4.134",188,"Netherlands","Springer Netherlands","1977-2020",0.02729,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,35,91,91,"38%","0%","38% (35)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","35","91","38.5%","38.5% (35)","0","8","0.0%","0.0% (0)",NA,NA,NA,NA,"2","2.2%","2.2% (2)","48","52.7%","52.7% (48)",NA,NA,NA,"22","24.2%","24.2% (22)","2","2.2%","2.2% (2)",NA,NA,NA,"17","18.7%","18.7% (17)","79","86.8%","86.8% (79)","1","1.1%","1.1% (1)","2","2.2%","2.2% (2)",NA,NA,NA,"9","9.9%","9.9% (9)","18","19.8%","19.8% (18)","21","23.1%","23.1% (21)","3","3.3%","3.3% (3)","1","1.1%","1.1% (1)","45","49.5%","49.5% (45)","1","1.1%","1.1% (1)","2","2.2%","2.2% (2)",NA,NA,NA,"2","2.2%","2.2% (2)","11","12.1%","12.1% (11)",NA,NA,NA,"3","3.3%","3.3% (3)",NA,NA,NA,"75","82.4%","82.4% (75)"
"108","Clinical Epidemiology","PEO Health","2.942",58,"New Zealand","Dove Medical Press Ltd.","2010-2020",0.01047,"Western Pacific","Western European and Other","East Asia and Pacific","High-income",".123",0,7,21,21,"34%","0%","34% (7)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","7","21","33.3%","33.3% (7)","2","5","40.0%","40.0% (2)",NA,NA,NA,NA,NA,NA,NA,"8","38.1%","38.1% (8)",NA,NA,NA,"11","52.4%","52.4% (11)",NA,NA,NA,NA,NA,NA,"2","9.5%","9.5% (2)","17","81.0%","81.0% (17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","19.0%","19.0% (4)","2","9.5%","9.5% (2)","11","52.4%","52.4% (11)",NA,NA,NA,NA,NA,NA,"8","38.1%","38.1% (8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","9.5%","9.5% (2)","2","9.5%","9.5% (2)",NA,NA,NA,NA,NA,NA,"17","81.0%","81.0% (17)"
"109","COASTAL MANAGEMENT","Environment","1.547",49,"United Kingdom","Taylor and Francis Ltd.","1987-2020",0.0011,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,9,33,33,"28%","0%","28% (9)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","9","33","27.3%","27.3% (9)","1","5","20.0%","20.0% (1)",NA,NA,NA,NA,NA,NA,NA,"25","75.8%","75.8% (25)",NA,NA,NA,"3","9.1%","9.1% (3)","2","6.1%","6.1% (2)",NA,NA,NA,"3","9.1%","9.1% (3)","29","87.9%","87.9% (29)",NA,NA,NA,"2","6.1%","6.1% (2)",NA,NA,NA,"2","6.1%","6.1% (2)","4","12.1%","12.1% (4)","3","9.1%","9.1% (3)","3","9.1%","9.1% (3)",NA,NA,NA,"22","66.7%","66.7% (22)","1","3.0%","3.0% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6.1%","6.1% (2)",NA,NA,NA,"3","9.1%","9.1% (3)",NA,NA,NA,"28","84.8%","84.8% (28)"
"110","COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY","PEO Health","2.135",101,"Denmark","Blackwell Munksgaard","1973-2020",0.00292,"Europe","Western European and Other","Europe and Central Asia","High-income",".038",0,4,7,7,"58%","0%","58% (4)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","4","7","57.1%","57.1% (4)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"3","42.9%","42.9% (3)",NA,NA,NA,"2","28.6%","28.6% (2)",NA,NA,NA,NA,NA,NA,"2","28.6%","28.6% (2)","6","85.7%","85.7% (6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14.3%","14.3% (1)","2","28.6%","28.6% (2)","2","28.6%","28.6% (2)","1","14.3%","14.3% (1)",NA,NA,NA,"2","28.6%","28.6% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14.3%","14.3% (1)",NA,NA,NA,"6","85.7%","85.7% (6)"
"111","COMMUNITY MENTAL HEALTH JOURNAL","PEO Health","1.292",66,"United States","Springer Netherlands","1965-2020",0.00395,"Americas","Western European and Other","North America","High-income",".204",0,12,29,29,"42%","0%","42% (12)","0% (0)","7","24","29.2%","29.2% (7)","1","1","100.0%","100.0% (1)","5","5","100.0%","100.0% (5)","5","5","100.0%","100.0% (5)",NA,NA,NA,NA,NA,NA,NA,"26","89.7%","89.7% (26)",NA,NA,NA,"3","10.3%","10.3% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","100.0%","100.0% (29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","10.3%","10.3% (3)",NA,NA,NA,NA,NA,NA,"26","89.7%","89.7% (26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","100.0%","100.0% (29)"
"112","COMPUTERS ENVIRONMENT AND URBAN SYSTEMS","Environment","4.655",92,"United Kingdom","Elsevier Ltd.","1980-1986, 1988-2020",0.00522,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,29,60,60,"48%","0%","48% (29)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","29","60","48.3%","48.3% (29)","3","5","60.0%","60.0% (3)",NA,NA,NA,NA,NA,NA,NA,"33","55.0%","55.0% (33)",NA,NA,NA,"18","30.0%","30.0% (18)","1","1.7%","1.7% (1)",NA,NA,NA,"8","13.3%","13.3% (8)","55","91.7%","91.7% (55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","8.3%","8.3% (5)","9","15.0%","15.0% (9)","16","26.7%","26.7% (16)","2","3.3%","3.3% (2)","2","3.3%","3.3% (2)","31","51.7%","51.7% (31)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","8.3%","8.3% (5)",NA,NA,NA,"2","3.3%","3.3% (2)",NA,NA,NA,"53","88.3%","88.3% (53)"
"113","Conflict and Health","PEO Health","2",30,"United Kingdom","BioMed Central Ltd.","2010-2020",0.00199,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,13,34,34,"38%","0%","38% (13)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","13","34","38.2%","38.2% (13)","4","7","57.1%","57.1% (4)",NA,NA,NA,NA,"1","2.9%","2.9% (1)","21","61.8%","61.8% (21)",NA,NA,NA,"12","35.3%","35.3% (12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","97.1%","97.1% (33)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.9%","2.9% (1)",NA,NA,NA,"12","35.3%","35.3% (12)",NA,NA,NA,NA,NA,NA,"21","61.8%","61.8% (21)",NA,NA,NA,"1","2.9%","2.9% (1)",NA,NA,NA,"1","2.9%","2.9% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","97.1%","97.1% (33)"
"114","Conservation & Society","Environment","1.904",35,"India","Wolters Kluwer Medknow Publications","2007-2020",0.0015,"South-East Asia","Asia and Pacific","South Asia","Lower-middle-income",".488",0,32,65,65,"50%","0%","50% (32)","0% (0)","5","18","27.8%","27.8% (5)","0","1","0.0%","0.0% (0)","27","47","57.4%","57.4% (27)","4","8","50.0%","50.0% (4)",NA,NA,NA,NA,"5","7.7%","7.7% (5)","29","44.6%","44.6% (29)","1","1.5%","1.5% (1)","14","21.5%","21.5% (14)","10","15.4%","15.4% (10)",NA,NA,NA,"6","9.2%","9.2% (6)","46","70.8%","70.8% (46)",NA,NA,NA,"11","16.9%","16.9% (11)",NA,NA,NA,"8","12.3%","12.3% (8)","7","10.8%","10.8% (7)","13","20.0%","20.0% (13)","2","3.1%","3.1% (2)","2","3.1%","3.1% (2)","27","41.5%","41.5% (27)","9","13.8%","13.8% (9)","5","7.7%","7.7% (5)",NA,NA,NA,"5","7.7%","7.7% (5)","14","21.5%","21.5% (14)","1","1.5%","1.5% (1)","2","3.1%","3.1% (2)",NA,NA,NA,"43","66.2%","66.2% (43)"
